" Send auto-generated password",发送自动产生的密码
"The order no longer exists.",该订单已不存在。
"The problems you identified have been deleted.",您标识的问题已经被删除。
"The profile has been updated.",个人资料已更新。
"The profile has no changes.",个人资料无变化。
"The shipment has been created.",货物已被创建。
"The timeout limit for response from synchronize process was reached.",同步过程到达的响应的超时限制。
"The transaction details have been updated.",已更新交易详情。
"The wrong rule is specified.",指定了错误的规则。
"Themes JavaScript and CSS files combined to one file.","主题 JavaScript 和 CSS 文件已合并为单个文件。"
"There are no items in customer's shopping cart at the moment",当前顾客购车里没有购买条目
"There is an error in one of the option rows.",选项行之一出现错误。
"This account is",该账户为
"This account is inactive.",该账户未被激活。
"This action cannot be undone.",该行为不可取消。
"This email template no longer exists.",邮件模板不再存在。
"This is a required field.",这是必填区域。
"This is only a demo store. You can browse and place orders, but nothing will be processed.",这仅是演示店铺。您可以浏览商品和下订单，除此之外什么都不能做。
"This report uses timezone configuration data. Be sure to refresh lifetime statistics any time you change store timezone.",该报表使用时区配置数据。确保任何时间改变店铺时区时刷新生命周期统计。
"This section is not allowed.",该单元不被允许。
"This user no longer exists.",该用户已不存在。
Time,时间
To,发送至
"To cancel pending authorizations and release amounts that have already been processed during this payment, click Cancel.",要取消挂起的授权，并释放支付过程中已经被处理的授权，请点击取消。
"To use this website you must first enable JavaScript in your browser.",为了使用本网站，请设置您的浏览器允许Javascript。
"Toggle Editor",切换编辑器
Tools,工具
"Top 5 Search Terms",前五位搜索词
Total,订单总数量
"Total Invoiced",发票总量
"Total Refunded",退款总量
"Total of %1 record(s) were deleted",共删除%1条记录
"Track Order",追踪订单
"Track this shipment",追踪该运单
"Tracking number %1 for %2 assigned","为%1分配的追踪号 %2"
"Transaction Data",交易数据
"Transaction Details",交易详情
"Transaction ID",交易ID
"Transaction Type",交易类型
"Transactional Emails",交易邮件
Transactions,交易
Type,类型
"URL Key",URL键
"URL Redirects",URL转向
"URL Rewrite Information",URL重写信息
"URL Rewrite Management",URL重写管理
Unconfirmed,未确认
Unknown,未知
Unlimited,无限
"Unpaid Invoices",位支付的发票
Unsubscribe,退订
Unsubscribed,已退订
Update,更新
Updated,更新日期
"Updated At",更新于
"Updater model should not be used in custom layout updates.",Updater模型不应该使用在布局更新里。
"Upload File",上传文件
"Upload Files",上传文件
"Upload HTTP Error",上传HTTP错误
"Upload I/O Error",上传I/O错误
"Upload Security Error",上传安全错误
"Use All Available Attributes",使用全部可用属性
"Use Config Settings",使用配置设置
"Use Default",使用默认值
"Use Default Value",使用默认值
"Use Default Variable Values",使用默认变量值
"Use FTP Connection","使用 FTP 连接"
"Use In Layered Navigation",在分层导航中使用
"Use In Search Results Layered Navigation",在分层导航的搜索结果中使用
"Use Website",使用网站
"Used Currently For",当前用于
"Used as Default For",用作默认值
"User Content",用户内容
"User Email",用户邮件
"User ID",用户ID
"User Info",用户信息
"User Information",用户信息
"User Name",用户名
"User Name:",用户名：
"User Password",用户密码
"User Role",用户角色
"User Roles Information",用户角色信息
Users,用户
Uses,用户数
"VAT Number is Invalid","VAT 号码无效"
"VAT Number is Valid","VAT 号码有效"
"Validation Results",验证结果
Value,值
Variable,变量
"Variable Code",变量代码
"Variable HTML Value",变量HTML值
"Variable Name",变量名称
"Variable Plain Value",变量简单值
"View Full Size",查看完整尺寸
"View Statistics For:",查看统计：
Views,浏览数
"Visible In",可见于
WK,WK
Warning,警告
"Warning!\r\nThis action will remove this user from already assigned role\r\nAre you sure?","警告！\r\n该操作会将用户从已分配的角色中删除\r\n是否继续？"
"Warning!\r\nThis action will remove those users from already assigned roles\r\nAre you sure?","警告！\r\n该操作将从已分配的角色中将这些用户删除\r\n您是否真要这样做？"
"Watermark File for %1",%1的水印文件
"We can't find a block to delete.",找不到要删除的块。
"We can't find a page to delete.",找不到要删除的页。
"We can't find a rule to delete.",找不到要删除的规则。
"We can't find an email template to delete.",找不到要删除的邮件模板。
"We can't refresh lifetime statistics.",不能刷新生命周期统计。
"We can't refresh recent statistics.",不能刷新最近的统计。
"We can't set up a URL rewrite because the category your chose is not associated with a website.",由于您选择的分类没有和任何站点关联不能设置重写URL。
"We can't set up a URL rewrite because the product you chose is not associated with a website.",由于您选择的产品没有和任何站点关联不能设置重写URL。
"We couldn't connect to the FTP.",不能连接到FTP。
"We couldn't create a backup right now. Please try again later.",不能立即创建备份，请稍后再试。
"We couldn't delete one or more backups.",不能删除一个或多个备份。
"We couldn't find records for this period.",找不到该时期的记录。
"We found no problems.",我们未发现问题。
"We unsubscribed the people you identified.",已经退订了新闻邮件模板已经被成功存储。标识的人。
"We updated lifetime statistics.",更新了生命周期统计。
"Web Section",Web区域
"Web Services",Web服务
"Web Site",站点
"Web Site Information",站点信息
Website,网站
"What is this?",这是什么？
"Wish List vs. Regular Order",收藏清单vs.正规订单
"Wish Lists",收藏清单
"Wishlist - %1 item(s)","收藏清单 - %1个条目（s）"
"XML Sitemap",XML站点地图
YTD,YTD
Year,年
Yes,是
"Yes (301 Moved Permanently)","是（301 永久移动）"
"Yes (302 Found)",是（302找到）
"Yes (only price with tax)",是（只显示含税价格）
"You cannot delete your own account.",您无法删除自己的账户。
"You deleted the customer.",成功删除了该顾客。
"You deleted the design change.",成功删除设计改变。
"You have logged out.",您已注销。
"You need more free space to create a backup.",您需要更多的硬盘空间来创建备份。
"You need more permissions to activate maintenance mode right now.",您现在需要更的高权限来激活维护模式。
"You need more permissions to create a backup.",您需要更高权限来创建备份。
"You need to specify order items.",您必须指定订单项。
"You saved the custom variable.",成功存储该定制变量。
"You saved the customer.",成功存储了该顾客。
"You saved the design change.",成功存储设计改变。
"Your password has been updated.",你的密码已更新。
"Your password reset link has expired.",你的密码重设链接已过期。
"Your web server is configured incorrectly. As a result, configuration files with sensitive information are accessible from the outside. Please contact your hosting provider.",您的Web服务器配置有误。因此，包含敏感信息的配置文件将能从外部访问。请联系您的主机托管商。
"Zip/Postal Code",邮政编码
"[ deleted ]",[已删除]
[GLOBAL],[全局]
"[New/Edit] URL Redirect",[创建/编辑]URL转向
"[STORE VIEW]",[店铺视图]
[WEBSITE],[网站]
b,b
close,关闭
critical,重要
"example: ""sitemap/"" or ""/"" for base path (path must be writeable)","例如： ""sitemap/"" 或 ""/"" 可代表路径根（路径必须可写）"
"example: sitemap.xml",例如：sitemap.xml
failed,失败
major,主要
minor,次要
notice,注意
"or ",或者
"store(%1) scope",店铺（%1）范围
successful,成功
to,至
"website(%1) scope",站点（%1）范围
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. It is highly recommended to change this value in your Magento <a href=""%1"">configuration</a>.","不建议在生产环境中使用 {{base_url}} 检测 Base Unsecure URL / Base Secure URL。强烈建议在您的Magento<a href=""%1"">配置</a>中更改该值。"
